experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
SE,68,85847,ES,Remoto,ES,L
SE,36,175000,CA,Remoto,CA,M
SE,36,120000,CA,Remoto,CA,M
SE,6,222200,US,Presencial,US,L
SE,6,136000,US,Presencial,US,L
SE,36,219000,CA,Presencial,CA,M
SE,36,141000,CA,Presencial,CA,M
SE,36,147100,US,Presencial,US,M
SE,36,90700,US,Presencial,US,M
SE,18,130000,US,Remoto,US,M
SE,18,100000,US,Remoto,US,M
EN,6,213660,US,Presencial,US,L
EN,6,130760,US,Presencial,US,L
SE,28,147100,US,Presencial,US,M
SE,28,90700,US,Presencial,US,M
SE,36,170000,US,Presencial,US,M
SE,36,150000,US,Presencial,US,M
MI,18,150000,US,Remoto,US,M
MI,18,110000,US,Remoto,US,M
SE,2,143200,GB,Remoto,GB,M
SE,14,156400,US,Presencial,US,M
SE,56,200000,US,Presencial,US,M
SE,56,130000,US,Presencial,US,M
SE,39,90000,CA,Presencial,CA,M
SE,39,72000,CA,Presencial,CA,M
SE,24,90700,US,Presencial,US,M
SE,16,184590,US,Presencial,US,M
MI,24,162500,US,Presencial,US,M
MI,24,130000,US,Presencial,US,M
MI,18,105380,US,Presencial,US,M
MI,18,64500,US,Presencial,US,M
MI,56,20984,IN,Hibrido,IN,L
EN,6,204620,US,Presencial,US,L
EN,6,110680,US,Presencial,US,L
SE,24,221484,US,Presencial,US,M
SE,36,212750,US,Remoto,US,M
SE,36,185000,US,Remoto,US,M
SE,36,183500,US,Remoto,US,M
SE,36,218500,US,Remoto,US,M
SE,36,199098,US,Remoto,US,M
SE,24,203300,US,Remoto,US,M
SE,24,123600,US,Remoto,US,M
SE,71,189110,US,Presencial,US,M
SE,71,139000,US,Presencial,US,M
EX,36,185000,US,Presencial,US,M
SE,24,166000,US,Remoto,US,M
SE,36,172500,US,Remoto,US,M
SE,36,110500,US,Remoto,US,M
SE,24,176000,US,Presencial,US,M
SE,24,201450,US,Remoto,US,M
SE,6,159100,US,Presencial,US,L
SE,24,115000,US,Presencial,US,M
SE,24,81500,US,Presencial,US,M
SE,36,201450,US,Remoto,US,M
SE,16,210000,US,Presencial,US,M
SE,23,168100,US,Remoto,US,M
SE,24,193500,US,Remoto,US,M
SE,24,139000,US,Remoto,US,M
SE,56,150000,PT,Remoto,US,M
SE,14,185900,US,Presencial,US,M
SE,14,129300,US,Presencial,US,M
SE,24,175000,US,Remoto,US,M
SE,24,185000,US,Presencial,US,M
SE,24,140000,US,Presencial,US,M
SE,36,48289,ES,Presencial,ES,M
SE,36,38631,ES,Presencial,ES,M
SE,36,105000,US,Presencial,US,M
SE,36,70000,US,Presencial,US,M
EN,56,163196,US,Presencial,US,M
EN,56,145885,US,Presencial,US,M
SE,24,217000,US,Remoto,US,M
SE,24,185000,US,Remoto,US,M
SE,18,202800,US,Presencial,US,L
SE,18,104300,US,Presencial,US,L
SE,18,145000,US,Presencial,US,M
SE,18,65000,US,Presencial,US,M
SE,24,165000,US,Presencial,US,M
SE,24,132300,US,Presencial,US,M
SE,24,179170,US,Presencial,US,M
SE,24,94300,US,Presencial,US,M
SE,2,152500,US,Presencial,US,M
SE,2,116450,US,Presencial,US,M
SE,24,133800,US,Presencial,US,M
SE,71,203000,US,Presencial,US,M
SE,71,133000,US,Presencial,US,M
EN,72,220000,US,Hibrido,US,L
SE,36,150000,US,Presencial,US,M
SE,36,120000,US,Presencial,US,M
SE,2,214000,US,Presencial,US,M
SE,2,179820,US,Presencial,US,M
SE,2,143860,US,Presencial,US,M
SE,56,188800,US,Remoto,US,M
SE,2,214200,US,Presencial,US,M
SE,24,185900,US,Presencial,US,M
SE,24,129300,US,Presencial,US,M
SE,24,129000,US,Presencial,US,M
MI,21,155000,US,Presencial,US,M
MI,21,140000,US,Presencial,US,M
SE,24,161800,US,Remoto,US,M
SE,24,141600,US,Remoto,US,M
SE,56,176100,US,Presencial,US,L
MI,24,100000,US,Remoto,US,M
MI,24,70000,US,Remoto,US,M
EN,24,85000,US,Presencial,US,M
EN,24,65000,US,Presencial,US,M
SE,36,138784,US,Remoto,US,M
SE,36,83270,US,Remoto,US,M
EN,18,75000,US,Presencial,US,M
EN,18,70000,US,Presencial,US,M
SE,18,204500,US,Presencial,US,M
SE,18,138900,US,Presencial,US,M
SE,56,212200,US,Remoto,US,M
SE,24,95000,US,Remoto,US,M
SE,24,75000,US,Remoto,US,M
SE,36,195000,US,Presencial,US,M
SE,36,160000,US,Presencial,US,M
SE,2,143200,US,Presencial,US,M
MI,24,100000,US,Remoto,US,M
MI,24,70000,US,Remoto,US,M
MI,13,105000,US,Hibrido,US,L
MI,3,20670,IN,Remoto,IN,L
MI,18,46178,GB,Presencial,GB,M
MI,18,42533,GB,Presencial,GB,M
SE,24,145000,US,Presencial,US,M
SE,24,115000,US,Presencial,US,M
SE,18,168400,US,Presencial,US,M
SE,18,105200,US,Presencial,US,M
SE,6,159100,US,Presencial,US,L
SE,56,190000,US,Presencial,US,M
SE,56,150000,US,Presencial,US,M
MI,24,162500,US,Presencial,US,M
MI,24,130000,US,Presencial,US,M
SE,2,150000,US,Remoto,US,M
SE,2,120000,US,Remoto,US,M
SE,24,145000,US,Presencial,US,M
SE,24,120000,US,Presencial,US,M
SE,6,222200,US,Presencial,US,L
SE,6,136000,US,Presencial,US,L
SE,24,155000,US,Presencial,US,M
SE,24,220000,US,Remoto,US,M
SE,24,190000,US,Remoto,US,M
MI,36,66837,GB,Presencial,GB,M
MI,36,54685,GB,Presencial,GB,M
MI,43,85066,GB,Remoto,GB,M
